Employee,ID,Department,Sat 11,Sun 12,Mon 13,Tue 14,Wed 15,Thu 16,Fri 17
Luz Davis,KBPL7D,Surgery,Morning 07:00-15:00,,,,,Morning 07:00-15:00,
Felix Bergnaum,QHH6AM,General Ward,,Leave Vacation,Leave Vacation,,,,
Judith Hagenes,YFTLIA,Neurology,Afternoon 15:00-23:00,Morning 07:00-15:00,,,Morning 07:00-15:00,Leave Sick Leave,
Barbara Gilason,DSBOA4,Neurology,,,Leave Personal,Morning 07:00-15:00,Leave Personal,,Afternoon 15:00-23:00
Andres Runte,HAHGNZ,ICU,Leave Personal,,,Afternoon 15:00-23:00,Leave Training,Morning 07:00-15:00,
Jeffrey Littel,HWM4MU,Emergency,,Afternoon 15:00-23:00,Leave Training,,Afternoon 15:00-23:00,Leave Training,Night 23:00-07:00
James Romaguera,ZGG090,Pediatrics,,,,Leave Training,Morning 07:00-15:00,Morning 07:00-15:00,
Harriet Smith,IYI0KG,General Ward,,Leave Personal,,,Morning 07:00-15:00,Night 23:00-07:00,Afternoon 15:00-23:00
Robin Hoshiewicz,6SFHOR,General Ward,,,Afternoon 15:00-23:00,,Morning 07:00-15:00,,
Therese Wolf,AFURZA,Surgery,,,Morning 07:00-15:00,Afternoon 15:00-23:00,,Night 23:00-07:00,Afternoon 15:00-23:00
Vicky D'Amore,RURDPT,General Ward,Afternoon 15:00-23:00,Morning 07:00-15:00,,,Afternoon 15:00-23:00,,Afternoon 15:00-23:00
